site;LAT;LON;abtrichia;aegla;agriogomphus;alisotrichia;americabaetis;anacroneuria;antoptila;apobaetis;archeogomphus;argia;atopsyche;austrotinoides;baetodes;belostoma;cacoides;caenis;camelobaetidius;chimarra;cloeodes;coridalus;cryphocricus;cryptonynpha;cyanogomphus;farrodes;gomphoides;gomphus;gripopteryx;grumichella;guarinyperla;hagenulopsis;helicopsyche;heliocharis;hetaerina;heterelmis;hexachorus;hexacylloepus;hirudinea;homothraulus;hudsonema;hydrochara;hydroptila;hydrosmidon;Itaura;kempnya;lepthohyphes;leucotrichia;limnocoris;macrelmis;marilia;microcylloepus;mortoniella;needhamella;neoelmis;oecetis;orthotrichia;oxyetrichia;paracleodes;paragomphus;paragripopteryx;paramaka;perithemis;phanocercus;phylloicus;polyplectropus;progomphus;psephenus;rhagovelia;rhyacopsyche;simothraulopisis;smicridea;thraulodes;traverhyphes;tricorythodes;tricorythopsis;tupiperla;xenelmis;%OD;alcalinity;Hab_quality;width;DO;order;pH;depth;flow velocity;temperature;soiid;conductivity;turbitity;Total_N;Total_P;mean_altitude;mean_declivity;area;%_antropic_use;%_estepe;%_field;%_florest
25;-27.93947729;-53.26747524;0;7;0;0;6;14;0;0;0;0;0;0;1;0;0;0;9;5;0;0;1;0;38;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;3;1;26;0;56;0;2;85.3;18;53;6;7;3;8.6;13.25;102;19;27.4;24.7;16.5;0.5;0.02;564;4.26;30.2;0.95;0;0;0.05
26;-28.38984805;-53.05269965;0;17;0;0;16;11;0;0;0;0;0;0;0;0;0;0;3;3;0;1;0;0;0;38;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;12;4;0;0;0;0;1;4;0;6;0;0;0;0;5;1;0;0;0;19;12;53;0;98;0;1;93.3;14;65;5;8;4;8.3;16;51;20.5;32;19.9;13.9;0.5;0.01;506;4.20;178.0;0.98;0;0;0.02
27;-28.43152359;-54.04899888;0;0;0;3;30;5;0;0;0;0;0;0;5;0;0;0;24;55;0;6;0;0;0;21;0;1;0;0;0;1;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;15;0;0;1;19;32;0;0;0;0;0;0;0;3;0;0;0;0;17;0;0;0;67;0;12;0;20;0;1;79.8;33;68;6;6.9;3;7.9;26;103.5;17.5;82;50.5;17.2;0.4;0.03;321;3.42;554.8;0.97;0;0;0.03
28;-29.50739386;-54.71491497;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;0;0;91.2;8;65;4;8;1;6.1;15.75;66.75;24.3;40;17.1;16.3;1.01;0.02;280;9.13;69.0;0.49;0;0;0.51
29;-30.48204365;-54.22008003;0;0;0;0;5;2;0;0;0;1;0;0;6;0;0;0;25;69;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;2;0;0;8;0;0;5;17;8;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;162;0;94;0;12;0;0;91.7;17;48;6;8;3;7.5;9.75;47.25;20.7;88;53.4;5.8;0.2;0.01;241;3.60;148.9;0.1;0;0.9;0
30;-30.37887309;-53.87798822;0;0;1;0;97;42;0;0;0;0;0;0;71;0;0;1;86;17;1;8;0;0;0;22;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;7;0;0;0;0;15;1;3;5;0;0;32;0;8;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;12;96;0;99;0;16;1;0;96.5;42.5;46;7;8.9;3;7.8;14.25;43.5;15;171;123;4.4;0.2;0.05;273;4.56;688.3;0.11;0;0.79;0.1
31;-30.22592307;-54.58625957;0;3;0;0;11;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;36;0;2;0;14;0;0;81.1;27.5;43;15;6.9;3;7.5;8.75;43.5;20;54;74.5;16;0.3;0.07;145;3.45;19.7;0.03;0.97;0;0
32;-30.84425554;-54.5442318;0;1;0;0;8;21;0;0;0;3;1;0;1;0;0;0;2;1;0;4;0;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;3;0;2;19;0;0;29;0;9;0;0;0;0;1;5;0;0;0;0;0;0;11;0;0;1;254;0;42;0;52;0;0;70.6;55;72;30;6;4;7.5;17;63;19;176.4;158;7.4;0.4;0.04;292;3.09;3.0;0.04;0.05;0.86;0.03
33;-30.16011655;-55.06388197;0;0;0;0;11;4;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;11;0;0;0;0;0;0;7;0;4;0;22;0;2;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;6;0;9;0;9;0;0;98.6;11.5;45;3;7.4;1;7.6;13;45;23;49;21.8;6.5;1.6;0.02;168;4.01;1.0;0.3;0.69;0;0
34;-29.72442621;-56.05457259;0;1;0;0;25;4;0;0;0;8;0;0;31;0;0;0;4;3;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;2;12;0;0;6;0;5;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;9;0;30;0;12;0;1;105.3;55;42;12;7.9;5;7.4;27;78;30;107.6;121.5;11.2;1.4;0.04;146;1.73;22.2;0.3;0.66;0;0.02
